id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401309645,Georgia Southern,17,BYU,34,William Hill (New Jersey),57,20,BYU -20,,,,
401309645,Georgia Southern,17,BYU,34,consensus,57.5,20,BYU -20,,,,
401309645,Georgia Southern,17,BYU,34,teamrankings,57,20,BYU -20,,,,
401309905,Washington,13,Washington State,40,Bovada,45.0,1.0,Washington State -1.0,1.5,43.5,-105,-115
401309905,Washington,13,Washington State,40,William Hill (New Jersey),45,1,Washington State -1,,,,
401309905,Washington,13,Washington State,40,consensus,45,1,Washington State -1,,,,
401309905,Washington,13,Washington State,40,teamrankings,45,-1,Washington -1,,,,
401309913,BYU,17,Boise State,26,Bovada,57.5,-6.5,BYU -6.5,-3.5,56.0,-235,195
401309913,BYU,17,Boise State,26,William Hill (New Jersey),58,-6,BYU -6,,,,
401309913,BYU,17,Boise State,26,consensus,58,-6,BYU -6,,,,
401309913,BYU,17,Boise State,26,teamrankings,58,-6,BYU -6,,,,
401309876,Utah,35,Arizona State,21,Bovada,51.0,-1.5,Utah -1.5,1.0,51.0,-115,-105
401309876,Utah,35,Arizona State,21,William Hill (New Jersey),52.5,-1.5,Utah -1.5,,,,
401309876,Utah,35,Arizona State,21,consensus,51.5,-1.5,Utah -1.5,,,,
401309876,Utah,35,Arizona State,21,teamrankings,51,-1,Utah -1,,,,
401282812,Ohio State,59,Purdue,31,Bovada,65.0,-19.5,Ohio State -19.5,-20.5,61.5,-1300,725
401282812,Ohio State,59,Purdue,31,William Hill (New Jersey),65,-19,Ohio State -19,,,,
401282812,Ohio State,59,Purdue,31,consensus,65,-19,Ohio State -19,,,,
401282812,Ohio State,59,Purdue,31,teamrankings,65.5,-19,Ohio State -19,,,,
401309900,Stanford,11,California,41,Bovada,45.5,2.5,California -2.5,3.5,43.5,115,-135
401309900,Stanford,11,California,41,William Hill (New Jersey),46,2.5,California -2.5,,,,
401309900,Stanford,11,California,41,consensus,46,2.5,California -2.5,,,,
401309900,Stanford,11,California,41,teamrankings,46,2.5,California -2.5,,,,
401309648,South Alabama,21,Coastal Carolina,27,Bovada,55.0,15.0,Coastal Carolina -15.0,14.5,57.0,450,-665
401309648,South Alabama,21,Coastal Carolina,27,William Hill (New Jersey),55,15,Coastal Carolina -15,,,,
401309648,South Alabama,21,Coastal Carolina,27,consensus,55,15,Coastal Carolina -15,,,,
